,Feature,Weight
6,change_value,11.476858307016766
7,Top1_sentiment,0.5891712742859804
25,Top7_sentiment,0.40743769905285054
37,Top11_sentiment,0.3660231970193146
13,Top3_sentiment,0.35870662653449376
73,Top23_sentiment,0.3203530691920788
58,Top18_sentiment,0.29301297294428663
31,Top9_sentiment,0.27414698973376234
43,Top13_sentiment,0.2548830057298705
96,Top8_polarity,0.22751046914932158
61,Top19_sentiment,0.20524926317330852
129,Top24_subjectivity,0.18749786914862107
91,Top5_subjectivity,0.1807171133461592
70,Top22_sentiment,0.17453410153451854
130,Top25_polarity,0.17168383975781673
5,Adj Close,0.17044422717824947
3,Close,0.17044422717824947
76,Top24_sentiment,0.169002732112362
46,Top14_sentiment,0.1478926116547318
55,Top17_sentiment,0.13831519098959033
124,Top22_polarity,0.13730147476793209
41,Top12_positivity,0.12952215892095523
39,Top11_negativity,0.1243517629057027
88,Top4_polarity,0.11760926631290408
101,Top10_subjectivity,0.11687524210131628
111,Top15_subjectivity,0.11428169782062761
50,Top15_positivity,0.09925230096281572
120,Top20_polarity,0.08887343864238599
114,Top17_polarity,0.08468850133634301
99,Top9_subjectivity,0.08305196520455571
78,Top24_negativity,0.08225212539985113
109,Top14_subjectivity,0.08147263419616411
95,Top7_subjectivity,0.08019178953367612
35,Top10_positivity,0.07943867980239959
68,Top21_positivity,0.07847404719248714
72,Top22_negativity,0.07683304022709665
2,Low,0.06958748312339591
75,Top23_negativity,0.06919436920946544
105,Top12_subjectivity,0.06662717829887038
94,Top7_polarity,0.06520514979288693
113,Top16_subjectivity,0.06354652038219755
19,Top5_sentiment,0.06313164335644078
60,Top18_negativity,0.06076513483281906
115,Top17_subjectivity,0.05914729401338741
103,Top11_subjectivity,0.05872148438306546
11,Top2_positivity,0.05365858309723013
33,Top9_negativity,0.051843481666209654
122,Top21_polarity,0.046030087298074264
27,Top7_negativity,0.04541624707569341
110,Top15_polarity,0.04173076499793152
66,Top20_negativity,0.03918722338162402
63,Top19_negativity,0.0369265309169591
80,Top25_positivity,0.03435864117572737
116,Top18_polarity,0.03235154234003987
16,Top4_sentiment,0.030296945978147485
48,Top14_negativity,0.030164017427625613
15,Top3_negativity,0.029369398410932415
57,Top17_negativity,0.02874418413951793
23,Top6_positivity,0.02326903181058827
29,Top8_positivity,0.022483505347535546
21,Top5_negativity,0.022290266896319206
22,Top6_sentiment,0.01939167306568104
87,Top3_subjectivity,0.018665225585528425
98,Top9_polarity,0.01660392963304306
17,Top4_positivity,0.016410337920519494
119,Top19_subjectivity,0.015030295234312197
123,Top21_subjectivity,0.015020438123978689
112,Top16_polarity,0.013492980186428359
107,Top13_subjectivity,0.012575311083917238
93,Top6_subjectivity,0.010993928988092948
9,Top1_negativity,0.009537261211560169
97,Top8_subjectivity,0.0056680807271914406
45,Top13_negativity,0.0038014814487421834
54,Top16_negativity,0.00022155970882096112
53,Top16_positivity,-0.00022155970878948234
44,Top13_positivity,-0.003801481448741421
106,Top13_polarity,-0.006410532260387811
125,Top22_subjectivity,-0.008355025450692303
8,Top1_positivity,-0.009537261211626059
121,Top20_subjectivity,-0.009860381382193409
85,Top2_subjectivity,-0.01489168722750427
18,Top4_negativity,-0.01641033792049367
20,Top5_positivity,-0.02229026689628818
30,Top8_negativity,-0.022483505347560998
108,Top14_polarity,-0.02320791007270418
24,Top6_negativity,-0.023269031810566897
4,Volume,-0.02415184156291886
28,Top8_sentiment,-0.0264883435551
102,Top11_polarity,-0.028217470896285984
56,Top17_positivity,-0.028744184139539986
14,Top3_positivity,-0.029369398410975283
118,Top19_polarity,-0.02962962452600776
47,Top14_positivity,-0.030164017427620416
81,Top25_negativity,-0.034358641175712065
62,Top19_positivity,-0.0369265309168858
117,Top18_subjectivity,-0.03753534248244506
64,Top20_sentiment,-0.03764893850914205
65,Top20_positivity,-0.03918722338159998
104,Top12_polarity,-0.04056944897525857
128,Top24_polarity,-0.04281821582928255
131,Top25_subjectivity,-0.04440334169421959
26,Top7_positivity,-0.04541624707568571
32,Top9_positivity,-0.051843481666265
12,Top2_negativity,-0.05365858309726021
86,Top3_polarity,-0.05970146854209206
59,Top18_positivity,-0.06076513483281247
89,Top4_subjectivity,-0.061492318149789206
83,Top1_subjectivity,-0.06285256421639622
100,Top10_polarity,-0.06403941459197257
127,Top23_subjectivity,-0.06497048070530796
74,Top23_positivity,-0.06919436920960406
52,Top16_sentiment,-0.07624355451009394
71,Top22_positivity,-0.07683304022704851
69,Top21_negativity,-0.07847404719247479
36,Top10_negativity,-0.07943867980242186
126,Top23_polarity,-0.07994753213906032
77,Top24_positivity,-0.0822521253998162
82,Top1_polarity,-0.08739616005146401
92,Top6_polarity,-0.09110510330754981
51,Top15_negativity,-0.09925230096281296
84,Top2_polarity,-0.11255925015306681
1,High,-0.11592024003790777
38,Top11_positivity,-0.12435176290568316
42,Top12_negativity,-0.12952215892095448
90,Top5_polarity,-0.15007537162929024
67,Top21_sentiment,-0.20705450281277626
49,Top15_sentiment,-0.21635673672091826
10,Top2_sentiment,-0.23341483786372882
0,Open,-0.3108517553877569
79,Top25_sentiment,-0.45089187464203423
34,Top10_sentiment,-0.4582592474208556
40,Top12_sentiment,-0.4990502367143148
