Date,Subjectivity,Objectivity,Positive,Negative,Neutral,Label
2008-08-08,75.0,25.0,18.75,56.25,25.0,0
2008-08-11,83.3333333333,16.6666666667,41.6666666667,41.6666666667,16.6666666667,1
2008-08-12,56.25,43.75,18.75,37.5,43.75,0
2008-08-13,38.4615384615,61.5384615385,15.3846153846,23.0769230769,61.5384615385,0
2008-08-14,45.4545454545,54.5454545455,36.3636363636,9.09090909091,54.5454545455,1
2008-08-15,70.0,30.0,10.0,60.0,30.0,1
2008-08-18,100.0,0.0,0.0,100.0,0.0,0
2008-08-19,22.2222222222,77.7777777778,22.2222222222,0.0,77.7777777778,0
2008-08-20,70.0,30.0,10.0,60.0,30.0,1
2008-08-21,50.0,50.0,20.0,30.0,50.0,1
2008-08-22,50.0,50.0,0.0,50.0,50.0,1
2008-08-25,55.5555555556,44.4444444444,22.2222222222,33.3333333333,44.4444444444,0
2008-08-26,66.6666666667,33.3333333333,0.0,66.6666666667,33.3333333333,1
2008-08-27,30.7692307692,69.2307692308,30.7692307692,0.0,69.2307692308,1
2008-08-28,33.3333333333,66.6666666667,0.0,33.3333333333,66.6666666667,1
2008-08-29,27.2727272727,72.7272727273,18.1818181818,9.09090909091,72.7272727273,0
2008-09-02,46.6666666667,53.3333333333,0.0,46.6666666667,53.3333333333,0
2008-09-03,16.6666666667,83.3333333333,0.0,16.6666666667,83.3333333333,1
2008-09-04,40.0,60.0,20.0,20.0,60.0,0
2008-09-05,36.3636363636,63.6363636364,9.09090909091,27.2727272727,63.6363636364,1
2008-09-08,23.0769230769,76.9230769231,0.0,23.0769230769,76.9230769231,1
2008-09-09,53.8461538462,46.1538461538,15.3846153846,38.4615384615,46.1538461538,0
2008-09-10,33.3333333333,66.6666666667,33.3333333333,0.0,66.6666666667,1
2008-09-11,16.6666666667,83.3333333333,0.0,16.6666666667,83.3333333333,1
2008-09-12,33.3333333333,66.6666666667,16.6666666667,16.6666666667,66.6666666667,0
2008-09-15,50.0,50.0,0.0,50.0,50.0,0
2008-09-16,41.6666666667,58.3333333333,8.33333333333,33.3333333333,58.3333333333,1
2008-09-17,20.0,80.0,10.0,10.0,80.0,0
2008-09-18,25.0,75.0,16.6666666667,8.33333333333,75.0,1
2008-09-19,50.0,50.0,12.5,37.5,50.0,1
2008-09-22,25.0,75.0,0.0,25.0,75.0,0
2008-09-23,33.3333333333,66.6666666667,0.0,33.3333333333,66.6666666667,0
2008-09-24,30.0,70.0,20.0,10.0,70.0,0
2008-09-25,37.5,62.5,25.0,12.5,62.5,1
2008-09-26,50.0,50.0,12.5,37.5,50.0,1
2008-09-29,18.1818181818,81.8181818182,9.09090909091,9.09090909091,81.8181818182,0
2008-09-30,57.1428571429,42.8571428571,14.2857142857,42.8571428571,42.8571428571,1
2008-10-01,61.1111111111,38.8888888889,27.7777777778,33.3333333333,38.8888888889,0
2008-10-02,37.5,62.5,25.0,12.5,62.5,0
2008-10-03,28.5714285714,71.4285714286,14.2857142857,14.2857142857,71.4285714286,0
2008-10-06,50.0,50.0,37.5,12.5,50.0,0
2008-10-07,20.0,80.0,0.0,20.0,80.0,0
2008-10-08,30.7692307692,69.2307692308,0.0,30.7692307692,69.2307692308,0
2008-10-09,23.0769230769,76.9230769231,0.0,23.0769230769,76.9230769231,0
2008-10-10,19.0476190476,80.9523809524,9.52380952381,9.52380952381,80.9523809524,0
2008-10-13,45.4545454545,54.5454545455,9.09090909091,36.3636363636,54.5454545455,1
2008-10-14,47.0588235294,52.9411764706,11.7647058824,35.2941176471,52.9411764706,0
2008-10-15,28.5714285714,71.4285714286,14.2857142857,14.2857142857,71.4285714286,0
2008-10-16,77.7777777778,22.2222222222,44.4444444444,33.3333333333,22.2222222222,1
2008-10-17,30.0,70.0,0.0,30.0,70.0,0
2008-10-20,41.1764705882,58.8235294118,23.5294117647,17.6470588235,58.8235294118,1
2008-10-21,33.3333333333,66.6666666667,22.2222222222,11.1111111111,66.6666666667,0
2008-10-22,30.0,70.0,0.0,30.0,70.0,0
2008-10-23,58.3333333333,41.6666666667,25.0,33.3333333333,41.6666666667,1
2008-10-24,66.6666666667,33.3333333333,22.2222222222,44.4444444444,33.3333333333,0
2008-10-27,54.5454545455,45.4545454545,9.09090909091,45.4545454545,45.4545454545,0
